Network Size,Delivery Rate (TPS),Run Index,NAME,Memory(max) (MB),Memory(avg) (MB),CPU(max) (%),CPU(avg) (%),Traffic In (MB),Traffic Out (MB),Disc Read (B),Disc Write (B)
1,5,0,sawtooth-shell-default,4.1,4.0,47.83,7.97,185.2,3.4,0,0
1,5,0,sawtooth-poet-validator-r...-tp-0,47.0,47.0,0.00,0.00,386,0,0,0
1,5,0,sawtooth-intkey-tp-python...ult-0,20.4,20.3,10.14,1.74,43.6,21.3,0,0
1,5,0,sawtooth-rest-api-0,26.7,26.6,1.14,0.19,149.6,217.3,0,0
1,5,0,sawtooth-settings-tp-0,20.4,20.4,0.00,0.00,386,0,0,0
1,5,0,sawtooth-validator-0,66.0,65.8,17.40,3.16,52.6,159.2,0,0
1,5,0,sawtooth-shell-default,11.4,5.1,48.48,9.26,230.4,3.7,0,0
1,5,0,sawtooth-poet-validator-r...-tp-0,46.5,46.5,0.00,0.00,0,0,0,0
1,5,0,sawtooth-intkey-tp-python...ult-0,20.4,20.4,0.00,0.00,86.2,42.6,0,0
1,5,0,sawtooth-rest-api-0,26.8,26.7,1.15,0.19,176.7,263.0,0,0
1,5,0,sawtooth-settings-tp-0,20.6,20.6,0.00,0.00,70,0,0,0
1,5,0,sawtooth-validator-0,67.1,66.3,0.44,0.23,73.7,229.2,0,0
1,10,0,sawtooth-shell-default,3.9,3.6,49.34,8.22,94.2,2.9,0,0
1,10,0,sawtooth-poet-validator-r...-tp-0,46.9,46.9,0.00,0.00,253,0,0,0
1,10,0,sawtooth-rest-api-0,26.3,26.2,0.83,0.14,140.1,172.3,0,0
1,10,0,sawtooth-intkey-tp-python...ult-0,20.3,20.1,4.15,0.87,108.1,53.2,0,0
1,10,0,sawtooth-settings-tp-0,20.4,20.4,0.00,0.00,323,0,0,0
1,10,0,sawtooth-validator-0,64.7,64.4,6.58,1.55,127.8,170.3,0,0
1,10,0,sawtooth-shell-default,9.6,4.7,30.89,7.02,276.3,4.0,0,0
1,10,0,sawtooth-intkey-tp-python...ult-0,20.7,20.5,18.85,11.09,170.4,83.8,0,0
1,10,0,sawtooth-poet-validator-r...-tp-0,46.6,46.6,0.00,0.00,526,0,0,0
1,10,0,sawtooth-settings-tp-0,20.7,20.7,0.00,0.00,526,0,0,0
1,10,0,sawtooth-rest-api-0,26.8,26.7,1.61,0.67,250.0,354.8,0,0
1,10,0,sawtooth-validator-0,69.3,66.8,29.30,18.37,158.9,340.1,0,0
