Network Size,Run Index,Test,Name,Succ,Fail,Send Rate,Max Latency,Min Latency,Avg Latency,Throughput,Stale Block Rate,Num Blocks,Num Txns,Round Duration,Throughput,Avg Interval,Min Interval,Max Interval
1,0,1,5TPS,5000,0,5.0 tps,0.32 s,0.01 s,0.03 s,5.0 tps,0.0,18,4660,1010.0,4.6,54.7,5.0,190.0
1,1,1,5TPS,5000,0,5.0 tps,0.43 s,0.01 s,0.05 s,5.0 tps,0.0,14,4880,1010.0,4.8,74.6,5.0,215.0
1,0,1,10TPS,9700,320,10.0 tps,0.87 s,0.01 s,0.08 s,9.7 tps,0.0,12,7760,1015.0,7.6,54.1,5.0,130.0
1,1,1,10TPS,8040,1960,10.0 tps,0.47 s,0.01 s,0.05 s,9.6 tps,0.0,15,6080,1010.0,6.0,49.2,5.0,210.0
1,0,1,15TPS,13940,1060,15.0 tps,0.97 s,0.01 s,0.07 s,14.0 tps,0.0,14,9880,980.0,10.1,47.9,5.0,190.0
1,1,1,15TPS,14640,360,15.0 tps,1.37 s,0.01 s,0.08 s,14.7 tps,0.0,15,12420,970.0,12.8,58.1,5.0,245.0
1,0,1,20TPS,13760,6240,20.0 tps,1.29 s,0.01 s,0.11 s,13.8 tps,0.0,9,8160,985.0,8.3,50.0,5.0,140.0
1,1,1,20TPS,17240,2760,20.0 tps,1.71 s,0.01 s,0.13 s,17.8 tps,0.0,16,14360,965.0,14.9,62.3,5.0,230.0
1,0,1,25TPS,17700,7300,25.0 tps,1.27 s,0.01 s,0.08 s,17.7 tps,0.0,12,12060,965.0,12.5,69.5,5.0,225.0
1,1,1,25TPS,16340,8660,25.0 tps,1.35 s,0.01 s,0.08 s,16.4 tps,0.0,10,11980,975.0,12.3,96.2,5.0,230.0
1,0,1,30TPS,19220,10780,30.0 tps,1.68 s,0.01 s,0.10 s,19.2 tps,0.0,14,15440,960.0,16.1,77.5,5.0,235.0
1,1,1,30TPS,17680,12320,30.0 tps,1.58 s,0.01 s,0.09 s,18.6 tps,0.0,14,14540,950.0,15.3,60.5,5.0,120.0
1,0,1,35TPS,16180,18820,35.0 tps,1.40 s,0.01 s,0.08 s,19.2 tps,0.0,14,12820,975.0,13.1,64.6,5.0,220.0
1,1,1,35TPS,16040,18960,35.0 tps,1.51 s,0.01 s,0.08 s,17.3 tps,0.0,14,13160,960.0,13.7,46.4,5.0,105.0
1,0,1,40TPS,14480,25520,40.0 tps,1.40 s,0.01 s,0.09 s,18.2 tps,0.0,11,11500,990.0,11.6,41.5,5.0,135.0
1,1,1,40TPS,18100,21920,40.0 tps,1.67 s,0.01 s,0.11 s,18.7 tps,0.0,11,14500,965.0,15.0,87.2,5.0,265.0
2,0,1,5TPS,5000,0,5.0 tps,0.04 s,0.01 s,0.01 s,5.0 tps,0.091,21,4461,1015.0,4.4,43.9,5.0,225.0
2,1,1,5TPS,4860,160,5.0 tps,0.10 s,0.01 s,0.02 s,4.9 tps,0.053,19,4321,1020.0,4.2,48.3,5.0,280.0
2,0,1,10TPS,9280,720,10.0 tps,0.64 s,0.01 s,0.04 s,9.3 tps,0.053,19,7081,1010.0,7.0,43.6,5.0,255.0
2,1,1,10TPS,6500,3500,10.0 tps,0.28 s,0.01 s,0.02 s,6.5 tps,0.111,17,4801,1015.0,4.7,31.8,5.0,120.0
2,0,1,15TPS,9520,5480,15.0 tps,0.78 s,0.01 s,0.03 s,9.5 tps,0.15,18,8261,1010.0,8.2,56.6,5.0,475.0
2,1,1,15TPS,12500,2500,15.0 tps,0.99 s,0.01 s,0.05 s,12.5 tps,0.348,16,9141,985.0,9.3,63.1,5.0,215.0
2,0,1,20TPS,9920,10080,20.0 tps,0.43 s,0.01 s,0.04 s,9.9 tps,0.077,13,7421,995.0,7.5,36.0,5.0,120.0
2,1,1,20TPS,11540,8460,20.0 tps,0.73 s,0.01 s,0.07 s,12.7 tps,0.143,13,8181,990.0,8.3,41.0,5.0,165.0
2,0,1,25TPS,14720,10280,25.0 tps,1.37 s,0.01 s,0.07 s,14.7 tps,0.333,15,10101,975.0,10.4,54.3,5.0,340.0
2,1,1,25TPS,13260,11740,25.0 tps,1.06 s,0.01 s,0.06 s,13.3 tps,0.474,11,8221,995.0,8.3,81.5,5.0,305.0
2,0,1,30TPS,13780,16220,30.0 tps,1.28 s,0.01 s,0.05 s,16.3 tps,0.304,17,11401,995.0,11.5,49.1,5.0,120.0
2,1,1,30TPS,13480,16520,30.0 tps,1.40 s,0.01 s,0.07 s,13.5 tps,0.222,15,10961,1000.0,11.0,66.8,5.0,315.0
2,0,1,35TPS,14660,20340,35.0 tps,0.91 s,0.01 s,0.05 s,16.2 tps,0.5,12,7841,995.0,7.9,66.4,5.0,225.0
2,1,1,35TPS,13440,21560,35.0 tps,0.59 s,0.01 s,0.05 s,17.7 tps,0.389,12,9141,980.0,9.3,71.5,5.0,220.0
2,0,1,40TPS,14460,25540,40.0 tps,1.18 s,0.01 s,0.06 s,14.9 tps,0.263,15,9261,980.0,9.4,69.2,5.0,185.0
2,1,1,40TPS,12320,27680,40.0 tps,0.90 s,0.01 s,0.06 s,14.0 tps,0.333,11,6141,995.0,6.2,55.0,5.0,150.0
